Date,oil,spy,vix
2018-01-02,60.369998931884766,2695.81005859375,9.770000457763672
2018-01-03,61.630001068115234,2713.06005859375,9.149999618530273
2018-01-04,62.0099983215332,2723.989990234375,9.220000267028809
2018-01-05,61.439998626708984,2743.14990234375,9.220000267028809
2018-01-08,61.72999954223633,2747.7099609375,9.520000457763672
2018-01-09,62.959999084472656,2751.2900390625,10.079999923706055
2018-01-10,63.56999969482422,2748.22998046875,9.819999694824219
2018-01-11,63.79999923706055,2767.56005859375,9.880000114440918
2018-01-12,64.30000305175781,2786.239990234375,10.15999984741211
2018-01-16,63.72999954223633,2776.419921875,11.65999984741211
2018-01-17,63.970001220703125,2802.56005859375,11.90999984741211
2018-01-18,63.95000076293945,2798.030029296875,12.220000267028809
2018-01-19,63.369998931884766,2810.300048828125,11.270000457763672
2018-01-22,63.4900016784668,2832.969970703125,11.029999732971191
2018-01-23,64.47000122070312,2839.1298828125,11.100000381469727
2018-01-24,65.61000061035156,2837.5400390625,11.470000267028809
2018-01-25,65.51000213623047,2839.25,11.579999923706055
2018-01-26,66.13999938964844,2872.8701171875,11.079999923706055
2018-01-29,65.55999755859375,2853.530029296875,13.84000015258789
2018-01-30,64.5,2822.429931640625,14.789999961853027
2018-01-31,64.7300033569336,2823.81005859375,13.539999961853027
2018-02-01,65.80000305175781,2821.97998046875,13.470000267028809
2018-02-02,65.44999694824219,2762.1298828125,17.309999465942383
2018-02-05,64.1500015258789,2648.93994140625,37.31999969482422
2018-02-06,63.38999938964844,2695.139892578125,29.979999542236328
2018-02-07,61.790000915527344,2681.659912109375,27.729999542236328
2018-02-08,61.150001525878906,2581.0,33.459999084472656
2018-02-09,59.20000076293945,2619.550048828125,29.059999465942383
2018-02-12,59.290000915527344,2656.0,25.610000610351562
2018-02-13,59.189998626708984,2662.93994140625,24.969999313354492
2018-02-14,60.599998474121094,2698.6298828125,19.260000228881836
2018-02-15,61.34000015258789,2731.199951171875,19.1299991607666
2018-02-16,61.68000030517578,2732.219970703125,19.459999084472656
2018-02-20,61.900001525878906,2716.260009765625,20.600000381469727
2018-02-21,61.68000030517578,2701.330078125,20.020000457763672
2018-02-22,62.77000045776367,2703.9599609375,18.719999313354492
2018-02-23,63.54999923706055,2747.300048828125,16.489999771118164
2018-02-26,63.90999984741211,2779.60009765625,15.800000190734863
2018-02-27,63.0099983215332,2744.280029296875,18.59000015258789
2018-02-28,61.63999938964844,2713.830078125,19.850000381469727
2018-03-01,60.9900016784668,2677.669921875,22.469999313354492
2018-03-02,61.25,2691.25,19.59000015258789
2018-03-05,62.56999969482422,2720.93994140625,18.729999542236328
2018-03-06,62.599998474121094,2728.1201171875,18.360000610351562
2018-03-07,61.150001525878906,2726.800048828125,17.760000228881836
2018-03-08,60.119998931884766,2738.969970703125,16.540000915527344
2018-03-09,62.040000915527344,2786.570068359375,14.640000343322754
2018-03-12,61.36000061035156,2783.02001953125,15.779999732971191
2018-03-13,60.709999084472656,2765.31005859375,16.350000381469727
2018-03-14,60.959999084472656,2749.47998046875,17.229999542236328
2018-03-15,61.189998626708984,2747.330078125,16.59000015258789
2018-03-16,62.34000015258789,2752.010009765625,15.800000190734863
2018-03-19,62.060001373291016,2712.919921875,19.020000457763672
2018-03-20,63.400001525878906,2716.93994140625,18.200000762939453
2018-03-21,65.16999816894531,2711.929931640625,17.860000610351562
2018-03-22,64.30000305175781,2643.68994140625,23.34000015258789
2018-03-23,65.87999725341797,2588.260009765625,24.8700008392334
2018-03-26,65.55000305175781,2658.550048828125,21.030000686645508
2018-03-27,65.25,2612.6201171875,22.5
2018-03-28,64.37999725341797,2605.0,22.8700008392334
2018-03-29,64.94000244140625,2640.8701171875,19.969999313354492
2018-04-02,63.0099983215332,2581.8798828125,23.6200008392334
2018-04-03,63.5099983215332,2614.449951171875,21.100000381469727
2018-04-04,63.369998931884766,2644.68994140625,20.059999465942383
2018-04-05,63.540000915527344,2662.840087890625,18.940000534057617
2018-04-06,62.060001373291016,2604.469970703125,21.489999771118164
2018-04-09,63.41999816894531,2613.159912109375,21.770000457763672
2018-04-10,65.51000213623047,2656.8701171875,20.469999313354492
2018-04-11,66.81999969482422,2642.18994140625,20.239999771118164
2018-04-12,67.06999969482422,2663.989990234375,18.489999771118164
2018-04-13,67.38999938964844,2656.300048828125,17.40999984741211
2018-04-16,66.22000122070312,2677.840087890625,16.559999465942383
2018-04-17,66.5199966430664,2706.389892578125,15.25
2018-04-18,68.47000122070312,2708.639892578125,15.600000381469727
