Date,oil,spy,vix
2020-02-03,50.11000061035156,3248.919921875,17.969999313354492
2020-02-04,49.61000061035156,3297.590087890625,16.049999237060547
2020-02-05,50.75,3334.68994140625,15.149999618530273
2020-02-06,50.95000076293945,3345.780029296875,14.960000038146973
2020-02-07,50.31999969482422,3327.7099609375,15.470000267028809
2020-02-10,49.56999969482422,3352.090087890625,15.039999961853027
2020-02-11,49.939998626708984,3357.75,15.180000305175781
2020-02-12,51.16999816894531,3379.449951171875,13.739999771118164
2020-02-13,51.41999816894531,3373.93994140625,14.149999618530273
2020-02-14,52.04999923706055,3380.159912109375,13.680000305175781
2020-02-18,52.04999923706055,3370.2900390625,14.829999923706055
2020-02-19,53.290000915527344,3386.14990234375,14.380000114440918
2020-02-20,53.779998779296875,3373.22998046875,15.5600004196167
2020-02-21,53.380001068115234,3337.75,17.079999923706055
2020-02-24,51.43000030517578,3225.889892578125,25.030000686645508
2020-02-25,49.900001525878906,3128.2099609375,27.850000381469727
2020-02-26,48.72999954223633,3116.389892578125,27.559999465942383
2020-02-27,47.09000015258789,2978.760009765625,39.15999984741211
2020-02-28,44.7599983215332,2954.219970703125,40.11000061035156
2020-03-02,46.75,3090.22998046875,33.41999816894531
2020-03-03,47.18000030517578,3003.3701171875,36.81999969482422
2020-03-04,46.779998779296875,3130.1201171875,31.989999771118164
2020-03-05,45.900001525878906,3023.93994140625,39.619998931884766
2020-03-06,41.279998779296875,2972.3701171875,41.939998626708984
2020-03-09,31.1299991607666,2746.56005859375,54.459999084472656
2020-03-10,34.36000061035156,2882.22998046875,47.29999923706055
2020-03-11,32.97999954223633,2741.3798828125,53.900001525878906
2020-03-12,31.5,2480.639892578125,75.47000122070312
2020-03-13,31.729999542236328,2711.02001953125,57.83000183105469
2020-03-16,28.700000762939453,2386.1298828125,82.69000244140625
2020-03-17,26.950000762939453,2529.18994140625,75.91000366210938
2020-03-18,20.3700008392334,2398.10009765625,76.44999694824219
2020-03-19,25.219999313354492,2409.389892578125,72.0
2020-03-20,22.43000030517578,2304.919921875,66.04000091552734
2020-03-23,23.360000610351562,2237.39990234375,61.59000015258789
2020-03-24,24.010000228881836,2447.330078125,61.66999816894531
2020-03-25,24.489999771118164,2475.56005859375,63.95000076293945
2020-03-26,22.600000381469727,2630.070068359375,61.0
2020-03-27,21.510000228881836,2541.469970703125,65.54000091552734
2020-03-30,20.09000015258789,2626.64990234375,57.08000183105469
2020-03-31,20.479999542236328,2584.590087890625,53.540000915527344
2020-04-01,20.309999465942383,2470.5,57.060001373291016
2020-04-02,25.31999969482422,2526.89990234375,50.90999984741211
2020-04-03,28.34000015258789,2488.64990234375,46.79999923706055
2020-04-06,26.079999923706055,2663.679931640625,45.2400016784668
2020-04-07,23.6299991607666,2659.409912109375,46.70000076293945
2020-04-08,25.09000015258789,2749.97998046875,43.349998474121094
2020-04-09,22.760000228881836,2789.820068359375,41.66999816894531
2020-04-13,22.40999984741211,2761.6298828125,41.16999816894531
2020-04-14,20.110000610351562,2846.06005859375,37.7599983215332
2020-04-15,19.8700008392334,2783.360107421875,40.84000015258789
2020-04-16,19.8700008392334,2799.550048828125,40.11000061035156
2020-04-17,18.270000457763672,2874.56005859375,38.150001525878906
2020-04-20,-37.630001068115234,2823.159912109375,43.83000183105469
2020-04-21,10.010000228881836,2736.56005859375,45.40999984741211
2020-04-22,13.779999732971191,2799.31005859375,41.97999954223633
2020-04-23,16.5,2797.800048828125,41.380001068115234
2020-04-24,16.940000534057617,2836.739990234375,35.93000030517578
2020-04-27,12.779999732971191,2878.47998046875,33.290000915527344
2020-04-28,12.34000015258789,2863.389892578125,33.56999969482422
2020-04-29,15.0600004196167,2939.510009765625,31.229999542236328
2020-04-30,18.84000015258789,2912.429931640625,34.150001525878906
2020-05-01,19.780000686645508,2830.7099609375,37.189998626708984
2020-05-04,20.389999389648438,2842.739990234375,35.970001220703125
2020-05-05,24.559999465942383,2868.43994140625,33.61000061035156
2020-05-06,23.989999771118164,2848.419921875,34.119998931884766
2020-05-07,23.549999237060547,2881.18994140625,31.440000534057617
2020-05-08,24.739999771118164,2929.800048828125,27.979999542236328
2020-05-11,24.139999389648438,2930.18994140625,27.56999969482422
2020-05-12,25.780000686645508,2870.1201171875,33.040000915527344
2020-05-13,25.290000915527344,2820.0,35.279998779296875
2020-05-14,27.559999465942383,2852.5,32.61000061035156
2020-05-15,29.43000030517578,2863.699951171875,31.889999389648438
2020-05-18,31.81999969482422,2953.909912109375,29.299999237060547
2020-05-19,32.5,2922.93994140625,30.530000686645508
2020-05-20,33.4900016784668,2971.610107421875,27.989999771118164
2020-05-21,33.91999816894531,2948.510009765625,29.530000686645508
2020-05-22,33.25,2955.449951171875,28.15999984741211
2020-05-26,34.349998474121094,2991.77001953125,28.010000228881836
2020-05-27,32.810001373291016,3036.1298828125,27.6200008392334
2020-05-28,33.709999084472656,3029.72998046875,28.59000015258789
2020-05-29,35.4900016784668,3044.31005859375,27.510000228881836
