,Date,oil,spy,vix,oil_ma_5,oil_ma_20,oil_lag_1,oil_lag_5,spy_ma_5,spy_ma_20,spy_lag_1,spy_lag_5,vix_ma_5,vix_ma_20,vix_lag_1,vix_lag_5,target
0,2015-01-30,48.2400016784668,1994.989990234375,20.96999931335449,45.720000457763675,47.325500106811525,44.52999877929688,45.59000015258789,2021.0080322265626,2028.1785095214843,2021.25,2051.820068359375,18.58199996948242,19.119499969482423,18.76000022888184,16.65999984741211,1
1,2015-02-02,49.56999969482422,2020.8499755859373,19.43000030517578,46.604000091552734,47.16950016021728,48.2400016784668,45.150001525878906,2013.760009765625,2026.3110107421876,1994.989990234375,2057.090087890625,19.363999938964845,19.201499938964844,20.96999931335449,15.520000457763672,1
2,2015-02-03,53.04999923706055,2050.030029296875,17.329999923706055,47.96800003051758,47.320000076293944,49.56999969482422,46.22999954223633,2017.856005859375,2027.783514404297,2020.8499755859373,2029.550048828125,19.386000061035155,19.071999931335448,19.43000030517578,17.219999313354492,0
3,2015-02-04,48.45000076293945,2041.510009765625,18.32999992370605,48.76800003051758,47.34600009918213,53.04999923706055,44.45000076293945,2025.7260009765625,2029.728515625,2050.030029296875,2002.1600341796875,18.96399993896484,18.932499885559082,17.329999923706055,20.440000534057617,1
4,2015-02-05,50.47999954223633,2062.52001953125,16.850000381469727,49.95800018310547,47.4375,48.45000076293945,44.52999877929688,2033.9800048828124,2031.5595153808595,2041.510009765625,2021.25,18.581999969482418,18.80949993133545,18.32999992370605,18.76000022888184,1
5,2015-02-06,51.68999862670898,2055.469970703125,17.290000915527344,50.6479995727539,47.58249988555908,50.47999954223633,48.2400016784668,2046.0760009765625,2031.2260192871095,2062.52001953125,1994.989990234375,17.846000289916994,18.823499965667725,16.850000381469727,20.96999931335449,1
6,2015-02-09,52.86000061035156,2046.739990234375,18.549999237060547,51.305999755859375,47.80749988555908,51.68999862670898,49.56999969482422,2051.25400390625,2031.3225158691407,2055.469970703125,2020.8499755859373,17.670000076293945,18.873499965667726,17.290000915527344,19.43000030517578,0
7,2015-02-10,50.02000045776367,2068.590087890625,17.229999542236328,50.7,48.00499992370605,52.86000061035156,53.04999923706055,2054.966015625,2033.3390197753906,2046.739990234375,2050.030029296875,17.65,18.754999923706055,18.549999237060547,17.329999923706055,0
8,2015-02-11,48.84000015258789,2068.530029296875,16.959999084472656,50.77799987792969,48.152499961853025,50.02000045776367,48.45000076293945,2060.37001953125,2035.6140197753907,2068.590087890625,2041.510009765625,17.37599983215332,18.57499990463257,17.229999542236328,18.32999992370605,1
9,2015-02-12,51.209999084472656,2088.47998046875,15.34000015258789,50.92399978637695,48.28899993896484,48.84000015258789,50.47999954223633,2065.56201171875,2039.4745178222656,2068.530029296875,2062.52001953125,17.07399978637695,18.267999935150147,16.959999084472656,16.850000381469727,1
10,2015-02-13,52.77999877929688,2096.989990234375,14.6899995803833,51.14199981689453,48.615499877929686,51.209999084472656,51.68999862670898,2073.866015625,2044.6905151367187,2088.47998046875,2055.469970703125,16.553999519348146,17.88299994468689,15.34000015258789,17.290000915527344,1
11,2015-02-17,53.52999877929688,2100.340087890625,15.800000190734863,51.27599945068359,48.85749988555908,52.77999877929688,52.86000061035156,2084.58603515625,2048.7365173339845,2096.989990234375,2046.739990234375,16.003999710083008,17.62549991607666,14.6899995803833,18.549999237060547,0
12,2015-02-18,52.13999938964844,2099.679931640625,15.449999809265137,51.699999237060545,49.14499988555908,53.52999877929688,50.02000045776367,2090.80400390625,2052.5930114746093,2100.340087890625,2068.590087890625,15.64799976348877,17.403499937057497,15.800000190734863,17.229999542236328,0
13,2015-02-19,51.15999984741211,2097.449951171875,15.289999961853027,52.16399917602539,49.31399993896484,52.13999938964844,48.84000015258789,2096.58798828125,2055.859509277344,2099.679931640625,2068.530029296875,15.313999938964844,17.22549991607666,15.449999809265137,16.959999084472656,0
14,2015-02-20,50.34000015258789,2110.300048828125,14.300000190734863,51.98999938964844,49.515499877929685,51.15999984741211,51.209999084472656,2100.952001953125,2058.2170166015626,2097.449951171875,2088.47998046875,15.105999946594238,17.12049994468689,15.289999961853027,15.34000015258789,0
15,2015-02-23,49.45000076293945,2109.659912109375,14.5600004196167,51.32399978637695,49.708499908447266,50.34000015258789,52.77999877929688,2103.485986328125,2061.1090087890625,2110.300048828125,2096.989990234375,15.080000114440917,17.015499973297118,14.300000190734863,14.6899995803833,0
16,2015-02-24,49.27999877929688,2115.47998046875,13.6899995803833,50.47399978637695,49.91499977111816,49.45000076293945,53.52999877929688,2106.51396484375,2064.0285034179688,2109.659912109375,2100.340087890625,14.657999992370605,16.9239999294281,14.5600004196167,15.800000190734863,1
17,2015-02-25,50.9900016784668,2113.860107421875,13.84000015258789,50.24400024414062,50.15299987792969,49.27999877929688,52.13999938964844,2109.35,2068.244006347656,2115.47998046875,2099.679931640625,14.336000061035156,16.754999971389772,13.6899995803833,15.449999809265137,0
18,2015-02-26,48.16999816894531,2110.739990234375,13.90999984741211,49.645999908447266,50.33899974822998,50.9900016784668,51.15999984741211,2112.0080078125,2073.6730041503906,2113.860107421875,2097.449951171875,14.060000038146972,16.428499937057495,13.84000015258789,15.289999961853027,1
19,2015-02-27,49.7599983215332,2104.5,13.34000015258789,49.529999542236325,50.6004997253418,48.16999816894531,50.34000015258789,2110.847998046875,2077.8355041503905,2110.739990234375,2110.300048828125,13.868000030517578,16.157499933242796,13.90999984741211,14.300000190734863,0
20,2015-03-02,49.59000015258789,2117.389892578125,13.039999961853027,49.55799942016601,50.66799964904785,49.7599983215332,49.45000076293945,2112.393994140625,2083.955499267578,2104.5,2109.659912109375,13.563999938964844,15.760999965667725,13.34000015258789,14.5600004196167,1
21,2015-03-03,50.52000045776367,2107.780029296875,13.859999656677246,49.805999755859375,50.71549968719482,49.59000015258789,49.27999877929688,2110.85400390625,2088.302001953125,2117.389892578125,2115.47998046875,13.597999954223633,15.482499933242797,13.039999961853027,13.6899995803833,1
22,2015-03-04,51.52999877929688,2098.530029296875,14.229999542236328,49.9139991760254,50.63949966430664,50.52000045776367,50.9900016784668,2107.78798828125,2090.727001953125,2107.780029296875,2113.860107421875,13.67599983215332,15.327499914169312,13.859999656677246,13.84000015258789,0
23,2015-03-05,50.7599983215332,2101.0400390625,14.039999961853027,50.43199920654297,50.75499954223633,51.52999877929688,48.16999816894531,2105.847998046875,2093.703503417969,2098.530029296875,2110.739990234375,13.701999855041503,15.11299991607666,14.229999542236328,13.90999984741211,0
24,2015-03-06,49.61000061035156,2071.260009765625,15.199999809265137,50.40199966430664,50.71149959564209,50.7599983215332,49.7599983215332,2099.2,2094.1405029296875,2101.0400390625,2104.5,14.073999786376953,15.03049988746643,14.039999961853027,13.34000015258789,1
25,2015-03-09,50.0,2079.429931640625,15.0600004196167,50.48399963378906,50.62699966430664,49.61000061035156,49.59000015258789,2091.6080078125,2095.3385009765625,2071.260009765625,2117.389892578125,14.477999877929687,14.918999862670898,15.199999809265137,13.039999961853027,0
26,2015-03-10,48.290000915527344,2044.1600341796875,16.690000534057617,50.0379997253418,50.39849967956543,50.0,50.52000045776367,2078.8840087890626,2095.209503173828,2079.429931640625,2107.780029296875,15.044000053405762,14.825999927520751,15.0600004196167,13.859999656677246,0
27,2015-03-11,48.16999816894531,2040.239990234375,16.8700008392334,49.36599960327148,50.30599956512451,48.290000915527344,51.52999877929688,2067.2260009765623,2093.7919982910157,2044.1600341796875,2098.530029296875,15.572000312805176,14.807999992370606,16.690000534057617,14.229999542236328,0
28,2015-03-12,47.04999923706055,2065.949951171875,15.420000076293944,48.623999786376956,50.21649951934815,48.16999816894531,50.7599983215332,2060.2079833984376,2093.6629943847656,2040.239990234375,2101.0400390625,15.84800033569336,14.73100004196167,16.8700008392334,14.039999961853027,0
