,Date,oil,spy,vix,oil_ma_5,oil_ma_20,oil_lag_1,oil_lag_5,spy_ma_5,spy_ma_20,spy_lag_1,spy_lag_5,vix_ma_5,vix_ma_20,vix_lag_1,vix_lag_5,target
0,2020-03-02,46.75,3090.22998046875,33.41999816894531,47.44599990844726,50.35249977111816,44.7599983215332,51.43000030517578,3053.561962890625,3267.9599731445314,2954.219970703125,3225.889892578125,33.619999694824216,20.318499898910524,40.11000061035156,25.030000686645508,1
1,2020-03-03,47.18000030517578,3003.3701171875,36.81999969482422,46.90199966430664,50.205999755859374,46.75,49.900001525878906,3028.593994140625,3255.682482910156,3090.22998046875,3128.2099609375,35.41399955749512,21.26099991798401,33.41999816894531,27.850000381469727,0
2,2020-03-04,46.77999877929688,3130.1201171875,31.989999771118164,46.51199951171875,50.06449966430664,47.18000030517578,48.72999954223633,3031.3400390625,3247.308984375,3003.3701171875,3116.389892578125,36.29999961853027,22.05799994468689,36.81999969482422,27.559999465942383,0
3,2020-03-05,45.900001525878906,3023.93994140625,39.619998931884766,46.273999786376955,49.82199974060059,46.77999877929688,47.09000015258789,3040.376025390625,3231.771484375,3130.1201171875,2978.760009765625,36.39199943542481,23.281499910354615,31.989999771118164,39.15999984741211,0
4,2020-03-06,41.27999877929688,2972.3701171875,41.93999862670898,45.577999877929685,49.33849964141846,45.900001525878906,44.7599983215332,3044.0060546875,3213.1009887695313,3023.93994140625,2954.219970703125,36.75799903869629,24.630499839782715,39.619998931884766,40.11000061035156,0
5,2020-03-09,31.1299991607666,2746.56005859375,54.459999084472656,42.45399971008301,48.378999614715575,41.27999877929688,46.75,2975.2720703125,3184.043493652344,2972.3701171875,3090.22998046875,40.96599922180176,26.57999978065491,41.93999862670898,33.41999816894531,1
6,2020-03-10,34.36000061035156,2882.22998046875,47.29999923706055,39.88999977111816,47.61849966049194,31.1299991607666,47.18000030517578,2951.04404296875,3160.55048828125,2746.56005859375,3003.3701171875,43.06199913024902,28.192999744415282,54.459999084472656,36.81999969482422,0
7,2020-03-11,32.97999954223633,2741.3798828125,53.900001525878906,37.12999992370605,46.77049970626831,34.36000061035156,46.77999877929688,2873.29599609375,3129.731982421875,2882.22998046875,3130.1201171875,47.443999481201175,30.12899980545044,47.29999923706055,31.989999771118164,0
8,2020-03-12,31.5,2480.639892578125,75.47000122070312,34.249999618530275,45.786999797821046,32.97999954223633,45.900001525878906,2764.635986328125,3084.7914794921876,2741.3798828125,3023.93994140625,54.613999938964845,33.21549987792969,53.900001525878906,39.619998931884766,1
9,2020-03-13,31.729999542236328,2711.02001953125,57.83000183105469,32.339999771118165,44.8024998664856,31.5,41.27999877929688,2712.365966796875,3051.6454833984376,2480.639892578125,2972.3701171875,57.79200057983398,35.39949998855591,75.47000122070312,41.93999862670898,0
