,Feature,Weight,AbsWeight
2,spy,-0.9642616164920498,0.9642616164920498
1,oil,-0.8021105088802465,0.8021105088802465
7,oil_lag_5,0.5846994959444626,0.5846994959444626
14,vix_lag_1,-0.5650432628624029,0.5650432628624029
9,spy_ma_20,0.5520278720490758,0.5520278720490758
6,oil_lag_1,-0.5137639065258086,0.5137639065258086
13,vix_ma_20,-0.4267513386033898,0.4267513386033898
4,oil_ma_5,-0.3350982719785496,0.3350982719785496
3,vix,-0.31063253704651317,0.31063253704651317
10,spy_lag_1,-0.30369339333287204,0.30369339333287204
5,oil_ma_20,-0.30071398421027473,0.30071398421027473
8,spy_ma_5,-0.17582845608626366,0.17582845608626366
11,spy_lag_5,0.13573131687843046,0.13573131687843046
0,Unnamed: 0,-0.08684476280588409,0.08684476280588409
15,vix_lag_5,-0.08493974368019072,0.08493974368019072
12,vix_ma_5,-0.05925578499083557,0.05925578499083557
