,Feature,Weight,AbsWeight
1,oil,-1.1259593861855435,1.1259593861855435
6,oil_lag_1,0.8091244306984156,0.8091244306984156
10,spy_lag_1,-0.6459948413757353,0.6459948413757353
7,oil_lag_5,-0.5115872347459075,0.5115872347459075
4,oil_ma_5,0.4331630976604144,0.4331630976604144
14,vix_lag_1,-0.3918353371305329,0.3918353371305329
8,spy_ma_5,0.2629719619004837,0.2629719619004837
0,Unnamed: 0,-0.2255509669538781,0.2255509669538781
12,vix_ma_5,0.18849927321108706,0.18849927321108706
9,spy_ma_20,0.17439226712581435,0.17439226712581435
2,spy,0.16171923881848005,0.16171923881848005
3,vix,-0.15227313900811162,0.15227313900811162
13,vix_ma_20,-0.13520790465044039,0.13520790465044039
11,spy_lag_5,-0.08569307034101893,0.08569307034101893
5,oil_ma_20,-0.07074823778466245,0.07074823778466245
15,vix_lag_5,0.03539417858364996,0.03539417858364996
